id,name,size,city,employee_count
4674,Exelon,7,Chicago,1633
4682,Takeda Oncology,5,Cambridge,28666
4701,Brown Brothers Harriman,6,New York,17957
4711,The Church of Jesus Christ of Latter-day Saints,7,Salt Lake City,1781
4713,Ecolab,7,St. Paul,6382
4714,Pacific Northwest National Laboratory,6,Richland,19593
4715,Concentra,7,Addison,41625
4721,UL Solutions,7,Northbrook,5874
4725,Mayo Clinic,7,Rochester,6588
4728,NICE,6,Hoboken,13281
4729,UScellular,6,Chicago,44529
4764,BlackRock,7,New York,10282
4768,Deluxe,6,Minneapolis,7462
4782,Freshfields Bruckhaus Deringer,6,London,26962
4783,IFC - International Finance Corporation,5,Washington,4919
4787,Apex Systems,5,Glen Allen,6666
4791,Givaudan,7,Vernier,9423
4798,Hallmark Cards,7,Kansas City,13092
4804,Atlas Copco,7,Stockholm,12750
4826,SEI,5,Oaks,15666
4828,Getty Images,5,Seattle,32504
4852,Jabil,7,St Petersburg,4006
4857,PPG,7,Pittsburgh,6087
4860,BBVA,7,Bilbao,49935
4862,"Skadden, Arps, Slate, Meagher & Flom LLP and Affiliates",5,New York,29072
4867,Harvard Business School,5,Boston,89975
4881,UNICEF,7,New York,4341
4884,PulteGroup,5,Atlanta,16098
4890,University of Utah Health,7,Salt Lake City,39294
4896,Blue Shield of California,6,Oakland,6538
4898,Parsons Corporation,7,Chantilly,8248
4910,APL,6,Arlington,7452
4914,Kroger,7,Cincinnati,17468
4915,Fred Meyer,7,0,4840
4918,Metso,7,Helsinki,88541
4928,Otis Elevator Co.,7,0,10583
4929,Bentley Systems,5,Exton,17284
4931,Latham & Watkins,5,New York,23830
4951,Evalueserve,5,Zug,4855
4960,AMERICAN EAGLE OUTFITTERS INC.,7,Pittsburgh,7510
4972,EPAM Systems,7,Newtown,6070
4983,Temple University,6,Philadelphia,18325
4985,Temple Health â€“ Temple University Health System,6,Philadelphia,61120
4994,Lawrence Livermore National Laboratory,6,Livermore,12574
5001,Cartier,6,Meyrin,4396
5007,Bankers Life,5,Chicago,8513
5034,Persistent Systems,7,Pune,9276
5045,Cintas,7,Mason,8931
5050,Alfa Laval,7,Lund,23060
5058,Coty,7,Amsterdam,24446
5085,CHEP,7,Weybridge,12766
5089,Dana Incorporated,7,Maumee,11288
5098,aramco,7,Dhahran,7732
5107,Lam Research,7,Fremont,13714
5110,Acer,6,XiZhi District,98756
5112,Navistar Inc,7,Lisle,13102
5113,Constellation,7,Baltimore,7812
5121,"The TJX Companies, Inc.",7,Framingham,8754
5128,Nasdaq,5,New York,7776
5140,Virtusa,7,Southborough,40876
5153,Vestcom,4,Little Rock,5581
5154,Jefferies,5,New York City,18359
5161,Morningstar,7,Chicago,726
5167,Los Angeles Times,5,El Segundo,7160
5175,Valtech,6,Worldwide,12556
5185,Bausch + Lomb,7,Bridgewater,2037
5186,Ascensus,6,Dresher,5446
5195,GRUNDFOS,7,Bjerringbro,8321
5204,Rio Tinto,7,London,5304
5227,Colliers,7,Toronto,12088
5234,Rackspace Technology,6,San Antonio,32484
5235,LHH,7,Jacksonville,24657
5239,Teva Pharmaceuticals,7,Tel-Aviv,7779
5262,DSV - Global Transport and Logistics,7,Hedehusene,12457
5264,McMaster-Carr,5,Elmhurst,27551
5274,Northeastern University,6,Boston,44230
5275,Alcon,7,Geneva,3255
5294,LPL Financial,6,San Diego,16158
5300,Luxoft,7,Zug,24323
5313,Owens Corning,7,Toledo,11134
5315,Tenet Healthcare,7,Dallas,16903
5318,MFS Investment Management,5,Boston,9765
5327,Los Alamos National Laboratory,7,Los Alamos,38684
5328,H&M,7,Stockholm,2739
5329,Blizzard Entertainment,5,Irvine,11425
5343,Sysco,7,Houston,55976
5351,Connection,5,Merrimack,5974
5353,GSA,7,Washington,26619
5355,G4S,7,London,3767
5372,UC Santa Barbara,6,Santa Barbara,13086
5377,VELUX,7,Horsholm,88383
5394,Meritor,6,Troy,8578
5410,Abercrombie & Fitch Co.,7,Columbus,5095
5442,University of Missouri-Columbia,7,Columbia,4645
5461,ManTech,6,Herndon,20840
5468,Valvoline Inc.,7,Lexington,12882
5470,Capco,5,London,10200
5471,E. & J. Gallo Winery,6,Modesto,6543
5482,Takeda,7,Tokyo,6483
5489,George Mason University,6,Fairfax,5269
5505,Consilio LLC,5,Washington,36315
5507,Crowe,6,Chicago,9696
